Wie heißt der Bombenmodus in CS2?;Bombenentschärfung;Deathmatch;Gun Game;Capture the Flag
Welche Waffe ist eine klassische Pistole in CS2?;Glock-18;AK-47;AWP;MP5
Wie viele Spieler sind pro Team im Standard-CS2-Match?;5;4;6;8
In welchem Spiel sammelt man „Scrap“ als Ressource?;Rust;Valorant;CS2;The Finals
Was ist das Hauptziel in Rust?;Überleben;Runden gewinnen;Bomben legen;Punkte sammeln
Welche Perspektive nutzt Rust hauptsächlich?;First-Person;Third-Person;Isometrisch;Top-Down
Wie heißt die taktische Fähigkeit in Valorant?;Ability;Perk;Skilltree;Loadout
Wie viele Agents starten Valorant ursprünglich im Match pro Team?;5;4;6;3
Welche Rolle gibt es in Valorant NICHT offiziell?;Tank;Duelist;Controller;Sentinel
Wie heißt die Bombe in Valorant?;Spike;C4;Charge;Core
Welches Spiel ist bekannt für zerstörbare Umgebungen?;The Finals;CS2;Valorant;Rust
Wie viele Teams treten meist in The Finals gegeneinander an?;3;2;4;5
Was ist das Hauptziel in The Finals?;Geld sichern;Bomben entschärfen;Überleben;Kills farmen
Welche Waffenart ist in FPS-Spielen typisch?;Sturmgewehr;Zauberstab;Bogen;Speer
Was bedeutet FPS im Gaming?;First Person Shooter;Fast Play System;Frame Power Setup;Fight Player Style
Welche Waffe ist ein Scharfschützengewehr in CS2?;AWP;UMP-45;P90;FAMAS
Welche Spielmechanik ist in Rust besonders wichtig?;Crafting;Rundenzeit;Ultimate-Fähigkeit;Rangliste
Wie heißt das Ingame-Geld in CS2?;Dollar;Credits;Coins;Gold
Was passiert nach dem Legen der Bombe in CS2?;Sie explodiert;Runde endet sofort;Map wechselt;Waffen verschwinden
Welche Engine nutzt CS2?;Source 2;Unreal Engine;Unity;CryEngine
Was ist ein Headshot?;Treffer am Kopf;Treffer am Arm;Granatentreffer;Nahkampfangriff
Welche Spielart ist Valorant?;Taktischer Shooter;Battle Royale;MMORPG;Rennspiel
Welche Ressource braucht man zum Bauen in Rust?;Materialien;Mana;Energiepunkte;Tickets
Was ist Friendly Fire?;Eigenes Team kann Schaden bekommen;Unendliche Munition;Automatisches Heilen;Unsichtbarkeit
Welche Farbe haben Gegner im Trainingsmodus oft?;Rot;Blau;Grün;Gelb
Welche Plattform unterstützt alle genannten Spiele?;PC;Nintendo DS;PlayStation 2;Game Boy
Was ist ein Respawn?;Wiederbelebung nach Tod;Waffenwechsel;Map-Neustart;Rundenpause
Welche Spielart ist CS2 hauptsächlich?;Competitive Multiplayer;Singleplayer Story;Coop Survival;Sandbox
Was bedeutet „Eco-Round“ in CS2?;Sparen von Geld;Extra Punkte sammeln;Schnelle Runde;Zufällige Waffen
Welches Spiel kombiniert Shooter mit Parkour-Elementen?;The Finals;CS2;Rust;Valorant